target_id,sample_id,sample_index,source_split,source_index,membership,true_label,predicted_label,boundary_distance,initially_correct,anchors_used,boundary_queries,censored,initial_label_query,total_label_queries,norm
MNIST_QNN_z_r1_d6_s43,92c010e823ad2f73,0,train,0,1,3,0,0.0,False,0,0,False,1,1,l2
MNIST_QNN_z_r1_d6_s43,0e58431bed52e4ab,1,train,1,1,2,2,5.241500377655029,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,40cb926b08d92d88,2,train,2,1,1,1,3.8360297679901123,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,ab3d80451e28639c,3,train,3,1,2,2,5.863274574279785,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,1004368a81b1d3f9,4,train,4,1,1,1,5.652603626251221,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,d32a55ce6325cc74,5,train,5,1,1,1,5.795860290527344,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,8a518d02fd281566,6,train,6,1,1,1,5.2069783210754395,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,2a269320032354fd,7,train,7,1,2,2,6.145766735076904,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,25c342eba5dc248d,8,train,8,1,1,1,5.9501824378967285,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,3a20ccc68397360d,9,train,9,1,3,3,11.657696723937988,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,a1b33b35d34d0bb2,10,train,10,1,2,2,3.0169215202331543,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,e50a3909a8f17e31,11,train,11,1,0,0,3.6713428497314453,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,1cf9ecf0d90de769,12,train,12,1,2,1,0.0,False,0,0,False,1,1,l2
MNIST_QNN_z_r1_d6_s43,e2804dafb8042fb5,13,train,13,1,2,2,6.919705867767334,True,16,160,False,1,161,l2
MNIST_QNN_z_r1_d6_s43,5fc184b2f01a1489,14,train,14,1,1,1,2.88582706451416,True,16,160,False,1,161,l2
