target_id,sample_id,sample_index,source_split,source_index,membership,true_label,predicted_label,boundary_distance,initially_correct,anchors_used,boundary_queries,censored,initial_label_query,total_label_queries,norm
MNIST_QNN_zz_r5_d6_s43,92c010e823ad2f73,0,train,0,1,3,0,0.0,False,0,0,False,1,1,l2
MNIST_QNN_zz_r5_d6_s43,0e58431bed52e4ab,1,train,1,1,2,2,2.1577653884887695,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,40cb926b08d92d88,2,train,2,1,1,1,4.2924957275390625,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,ab3d80451e28639c,3,train,3,1,2,2,0.9247186183929443,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,1004368a81b1d3f9,4,train,4,1,1,1,5.63348388671875,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,d32a55ce6325cc74,5,train,5,1,1,1,3.3503499031066895,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,8a518d02fd281566,6,train,6,1,1,1,4.393512725830078,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,2a269320032354fd,7,train,7,1,2,2,7.239461898803711,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,25c342eba5dc248d,8,train,8,1,1,1,5.3082075119018555,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,3a20ccc68397360d,9,train,9,1,3,3,1.7816145420074463,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,a1b33b35d34d0bb2,10,train,10,1,2,2,5.6051506996154785,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,e50a3909a8f17e31,11,train,11,1,0,0,0.807140588760376,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,1cf9ecf0d90de769,12,train,12,1,2,3,0.0,False,0,0,False,1,1,l2
MNIST_QNN_zz_r5_d6_s43,e2804dafb8042fb5,13,train,13,1,2,0,0.0,False,0,0,False,1,1,l2
MNIST_QNN_zz_r5_d6_s43,5fc184b2f01a1489,14,train,14,1,1,1,3.0689878463745117,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,19eff6293ed1eecc,15,train,15,1,1,1,3.94702410697937,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,94db41731fc94db4,16,train,16,1,0,0,1.7519993782043457,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,397282abbed799ef,17,train,17,1,0,0,1.2375503778457642,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,c28bd72931a6e9c0,18,train,18,1,2,2,1.3532499074935913,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,2481717a8993a05e,19,train,19,1,1,1,6.380608081817627,True,16,160,False,1,161,l2
MNIST_QNN_zz_r5_d6_s43,dc30fe571f8ae8a9,20,train,20,1,0,0,6.107447624206543,True,16,160,False,1,161,l2
